,title,link
26,Private project or contest #39118345,https://www.freelancer.com/login?goto=MDNiYzBlMjJhNWQ0Y2EzODdlOGUzZTdlZjVjYzUzMjVodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9wcm9qZWN0cy93ZWItaG9zdGluZy93ZWJzb2NrZXQtc2VydmVyLWRlcGxveS12cHgtc2VydmVy
27,"Features addition, bug fixing & UI enhancements in existing Android firebase project.",https://www.freelancer.com/projects/android/features-addition-bug-fixing
28,ETL Specialist for Databricks on AWS,https://www.freelancer.com/projects/amazon-web-services/etl-specialist-for-databricks-aws
29,AI-Powered Web-Based Facial Interactive Program,https://www.freelancer.com/projects/website-design/powered-web-based-facial-interactive
30,Flutter App UI/UX Overhaul,https://www.freelancer.com/projects/user-interface-ia/flutter-app-overhaul-39118113
31,React Developer for Mobile & TV App,https://www.freelancer.com/projects/mobile-app-development/react-developer-for-mobile-app
32,Amend UI only - Laravel,https://www.freelancer.com/projects/php/amend-only-laravel
33,Cookie Store App Development,https://www.freelancer.com/projects/mobile-app-development/cookie-store-app-development
34,Private project or contest #39118047,"https://www.freelancer.com/login?goto=YWZlNzk2NmQ2ZTBiNGQxNGQzN2RjNTEyMzg2NzQ3OTFodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9wcm9qZWN0cy9lbGVtZW50b3IvbW9kZXJuLWJvb3RzdHJhcC1lbGVtZW50b3ItcHJvLXZpc2l0b3I,"
35,Australian Couriers API's Wordpress Integration,https://www.freelancer.com/projects/php/australian-couriers-api-wordpress
36,Web to App Development,https://www.freelancer.com/projects/iphone-app-development/web-app-development-39117867
37,Mobile App for Employment Solutions,https://www.freelancer.com/projects/iphone-app-development/mobile-app-for-employment-solutions
38,Mobile App Developer,https://www.freelancer.com/projects/android/mobile-app-developer-39117756
39,E-commerce Services Website Design on Softr,https://www.freelancer.com/projects/website-design/commerce-services-website-design-softr
40,Meme Coins Launch & Trade Platform,https://www.freelancer.com/projects/react-js/meme-coins-launch-trade-platform
41,Excel-Based Maldivian Resorts Pricing Engine,https://www.freelancer.com/projects/excel/excel-based-maldivian-resorts-pricing
42,Webflow Developer Needed for Website updates,https://www.freelancer.com/projects/website-design/webflow-developer-needed-for-website-39117552
43,Android Forestry Management Application,https://www.freelancer.com/projects/android/android-forestry-management-application
44,Custom Dragon Mod for ARK: Survival ***CODING***,https://www.freelancer.com/projects/unity-3d/custom-dragon-mod-for-ark
45,FullStack SaaS Developer Needed,https://www.freelancer.com/projects/php/fullstack-saas-developer-needed
46,Educational Mobile App for Childrensally,https://www.freelancer.com/projects/android/educational-mobile-app-for-childrensally
47,Mobile App Development for Android & iOS,https://www.freelancer.com/projects/android/mobile-app-development-for-android-39117417
48,iPhone App Development Similar to Shopify,https://www.freelancer.com/projects/iphone-app-development/iphone-app-development-similar-shopify
49,Freelance GoDaddy Website Design for Salon,https://www.freelancer.com/projects/website-design/freelance-godaddy-website-design-for
